feature_avg_correlation,intrinsic_dimensionality_ratio,model_name,n_features,n_samples,out_hull_ratio,train_f1,val_f1,val_f1_in_hull,val_f1_out_hull
0.311087479901286,0.18888888888888888,1,90,47,1.0,1.0,0.72,,0.72
0.31008618199316645,0.18888888888888888,1,90,47,1.0,1.0,0.52,,0.52
0.2879156534256012,0.18888888888888888,1,90,47,1.0,1.0,1.0,,1.0
0.2692747595598826,0.18888888888888888,1,90,47,1.0,1.0,1.0,,1.0
0.31192519694011084,0.17777777777777778,1,90,47,1.0,1.0,0.6666666666666666,,0.6666666666666666
0.3379664284331824,0.17777777777777778,1,90,47,1.0,1.0,0.4533333333333333,,0.4533333333333333
0.322330760315686,0.18888888888888888,1,90,47,1.0,1.0,0.32,,0.32
0.32427838343494664,0.18888888888888888,1,90,47,1.0,1.0,0.65,,0.65
0.31432368480199685,0.18888888888888888,1,90,47,1.0,1.0,0.65,,0.65
0.3113355193099989,0.18888888888888888,1,90,47,1.0,1.0,0.6666666666666666,,0.6666666666666666
0.31108747990128577,0.18888888888888888,0,90,47,1.0,1.0,0.16,,0.16
0.31008618199316645,0.18888888888888888,0,90,47,1.0,1.0,0.5866666666666666,,0.5866666666666666
0.2879156534256012,0.18888888888888888,0,90,47,1.0,1.0,0.7999999999999998,,0.7999999999999998
0.2692747595598826,0.18888888888888888,0,90,47,1.0,1.0,0.7999999999999998,,0.7999999999999998
0.31192519694011084,0.17777777777777778,0,90,47,1.0,1.0,0.5333333333333333,,0.5333333333333333
0.3379664284331824,0.17777777777777778,0,90,47,1.0,1.0,0.4666666666666666,,0.4666666666666666
0.322330760315686,0.18888888888888888,0,90,47,1.0,1.0,0.26666666666666666,,0.26666666666666666
0.32427838343494664,0.18888888888888888,0,90,47,1.0,1.0,0.6666666666666666,,0.6666666666666666
0.31432368480199685,0.18888888888888888,0,90,47,1.0,1.0,1.0,,1.0
0.3113355193099989,0.18888888888888888,0,90,47,1.0,1.0,0.75,,0.75
0.31108747990128577,0.18888888888888888,2,90,47,1.0,0.9008058608058608,0.72,,0.72
0.31008618199316645,0.18888888888888888,2,90,47,1.0,0.8936507936507938,0.5333333333333333,,0.5333333333333333
0.2879156534256012,0.18888888888888888,2,90,47,1.0,0.9008058608058608,0.72,,0.72
0.2692747595598826,0.18888888888888888,2,90,47,1.0,0.9008058608058608,0.5333333333333333,,0.5333333333333333
0.31192519694011084,0.17777777777777778,2,90,47,1.0,0.901904761904762,0.52,,0.52
0.3379664284331824,0.17777777777777778,2,90,47,1.0,0.9008411341744677,0.4533333333333333,,0.4533333333333333
0.322330760315686,0.18888888888888888,2,90,47,1.0,0.952399517311798,0.2,,0.2
0.32427838343494664,0.18888888888888888,2,90,47,1.0,0.903147154309945,0.6666666666666666,,0.6666666666666666
0.31432368480199685,0.18888888888888888,2,90,47,1.0,0.9291629989304406,0.65,,0.65
